"Year";"Upper";"Estimate";"Lower"
2003;0,497116;0,429408;0,361204
2004;0,513678;0,451717;0,392216
2005;0,478221;0,41133;0,343403
2006;0,517194;0,441765;0,36448
2007;0,523717;0,450498;0,378152
2008;0,608056;0,545531;0,483706
2009;0,585794;0,528277;0,471243
2010;0,579919;0,522044;0,460941
2011;0,734131;0,684187;0,632725
2012;0,69995;0,652814;0,603111
2013;0,654315;0,605421;0,555163
2014;0,692584;0,642375;0,590651
2015;0,68049;0,63086;0,579232
2016;0,66788;0,61699;0,564667
2017;0,618408;0,564655;0,510618
2018;0,578144;0,530861;0,482362
2019;0,46493;0,412354;0,359459
2020;0,400657;0,340695;0,284315
2021;0,463448;0,400736;0,337844
