"Year";"Upper";"Estimate";"Lower"
2003;0,329399;0,163032;0,048694
2004;0,309104;0,169351;0,061114
2005;0,488421;0,335818;0,194531
2006;0,406928;0,292825;0,186665
2007;0,368915;0,257591;0,155744
2008;0,405102;0,292574;0,190664
2009;0,417393;0,31631;0,221066
2010;0,483692;0,376507;0,275325
2011;0,327998;0,232971;0,149901
2012;0,366921;0,264345;0,175134
2013;0,364716;0,269231;0,184296
2014;0,44384;0,325225;0,214485
2015;0,538812;0,421436;0,307692
2016;0,402455;0,308682;0,221239
2017;0,487293;0,389016;0,294117
2018;0,461105;0,3672;0,276969
2019;0,420808;0,327473;0,236237
2020;0,450368;0,350351;0,255998
2021;0,453562;0,335346;0,22677
