Pais;Elemento;Medida;Min/Max;Value
China;Animal figurine;5-6cm;Min;32,00
China;Animal figurine;5-6cm;Max;549,00
China;Animal figurine;10cm;Min;240,00
China;Animal figurine;10cm;Max;773,00
China;Animal figurine;20cm;Min;366,00
China;Animal figurine;20cm;Max;976,00
Hong Kong;Animal figurine;5-6cm;Min;31,00
Hong Kong;Animal figurine;5-6cm;Max;277,00
Hong Kong;Animal figurine;10cm;Min;409,00
Hong Kong;Animal figurine;10cm;Max;674,00
Hong Kong;Animal figurine;20cm;Min;
Hong Kong;Animal figurine;20cm;Max;
Japan;Animal figurine;5-6cm;Min;192,00
Japan;Animal figurine;5-6cm;Max;680,00
Japan;Animal figurine;10cm;Min;
Japan;Animal figurine;10cm;Max;
Japan;Animal figurine;20cm;Min;2080,00
Japan;Animal figurine;20cm;Max;4000,00
Taiwan;Animal figurine;5-6cm;Min;103,00
Taiwan;Animal figurine;5-6cm;Max;176,00
Taiwan;Animal figurine;10cm;Min;294,00
Taiwan;Animal figurine;10cm;Max;294,00
Taiwan;Animal figurine;20cm;Min;
Taiwan;Animal figurine;20cm;Max;
South Korea;Animal figurine;5-6cm;Min;114,00
South Korea;Animal figurine;5-6cm;Max;114,00
South Korea;Animal figurine;10cm;Min;
South Korea;Animal figurine;10cm;Max;
South Korea;Animal figurine;20cm;Min;
South Korea;Animal figurine;20cm;Max;
China;Bangle;1-1,5cm;Min;22,00
China;Bangle;1-1,5cm;Max;61,00
China;Bangle;2-3cm;Min;91,00
China;Bangle;2-3cm;Max;112,00
Hong Kong;Bangle;1-1,5cm;Min;23,00
Hong Kong;Bangle;1-1,5cm;Max;44,00
Hong Kong;Bangle;2-3cm;Min;54,00
Hong Kong;Bangle;2-3cm;Max;77,00
Japan;Bangle;1-1,5cm;Min;84,00
Japan;Bangle;1-1,5cm;Max;184,00
Japan;Bangle;2-3cm;Min;184,00
Japan;Bangle;2-3cm;Max;240,00
Taiwan;Bangle;1-1,5cm;Min;59,00
Taiwan;Bangle;1-1,5cm;Max;65,00
Taiwan;Bangle;2-3cm;Min;88,00
Taiwan;Bangle;2-3cm;Max;118,00
South Korea;Bangle;1-1,5cm;Min;379,00
South Korea;Bangle;1-1,5cm;Max;
South Korea;Bangle;2-3cm;Min;
South Korea;Bangle;2-3cm;Max;
China;Chopsticks, pair;20cm;Min;30,00
China;Chopsticks, pair;20cm;Max;189,00
Hong Kong;Chopsticks, pair;20cm;Min;18,00
Hong Kong;Chopsticks, pair;20cm;Max;86,00
Japan;Chopsticks, pair;20cm;Min;128,00
Japan;Chopsticks, pair;20cm;Max;416,00
Taiwan;Chopsticks, pair;20cm;Min;88,00
Taiwan;Chopsticks, pair;20cm;Max;160,00
South Korea;Chopsticks, pair;20cm;Min;27,00
South Korea;Chopsticks, pair;20cm;Max;27,00
